"","UNIT","ID","psia"
"1","E","291",133.984276707863
"2","E","292",134.949871783601
"3","E","294",136.02352208216
"4","E","295",136.669191278636
"5","E","279",132.654656576174
"6","E","281",131.071695046038
"7","E","276",142.306985871175
"8","E","283",140.139212118227
"9","E","216",137.058139053128
"10","E","217",141.88772611696
"11","E","219",134.062086833523
"12","E","220",133.427413838983
"13","E","223",135.318699680004
"14","E","210",138.968679240027
"15","E","218",140.651095940744
"16","E","221",129.219483210191
"17","E","222",129.681503895634
"18","E","224",139.897636136654
"19","E","154",132.608035864665
"20","E","157",122.369626931233
"21","E","160",134.4596429804
"22","E","194",136.711496112559
"23","E","195",130.980568607794
"24","E","196",146.405466782986
"25","E","158",133.321306670848
"26","E","159",139.200806963513
"27","E","197",135.709319693921
"28","E","198",132.063250431302
"29","E","199",136.196644753892
"30","E","200",140.200241831636
"31","E","201",139.95259196416
"32","E","202",133.316371443742
"33","E","204",133.950903468628
"34","E","162",134.389403343757
"35","E","163",132.71872907011
"36","E","15",129.054825782024
"37","E","146",135.588069043338
"38","E","14",121.58347348798
"39","E","23",129.202310109449
"40","E","141",138.498414082608
"41","E","153",137.113102914687
"42","E","161",139.372580148492
"43","E","152",138.530071591487
"44","E","155",137.157281925767
"45","E","156",136.969542521063
"46","E","150",135.142473549082
"47","E","465",135.566289415288
"48","E","466",141.142946906483
"49","E","467",135.953278648387
"50","E","522",140.516332538517
"51","E","167",143.016058856468
"52","E","173",141.538060332915
"53","E","434",138.400412299969
"54","E","437",136.066975970659
"55","E","470",128.278990745933
"56","E","473",132.563113078763
"57","E","474",134.565635391332
"58","E","524",134.173057736292
"59","E","533",130.577219517633
"60","E","534",135.764590091967
"61","E","535",131.207149568021
"62","E","187",133.079391566184
"63","E","186",131.905164464993
"64","E","243",131.739366040593
"65","E","244",133.08100784806
"66","E","170",142.115996561437
"67","E","175",132.806759310699
"68","E","176",137.292745776896
"69","E","177",139.764062004182
"70","E","179",130.305467159658
"71","E","182",140.897472404208
"72","E","207",142.834768010612
"73","E","212",138.371063669513
"74","E","213",137.410536947901
"75","E","208",143.74294411611
"76","E","229",138.810426771738
"77","E","230",134.408407081425
"78","E","233",139.378943742261
"79","E","235",135.534694249643
"80","E","236",140.040041738961
"81","E","241",135.148876804599
"82","E","242",139.252450462591
"83","E","248",138.407972419104
"84","E","257",136.820824481066
"85","E","258",140.805876498197
"86","E","188",135.332277242763
"87","E","189",139.826528283329
"88","E","237",129.855936738292
"89","E","238",143.736714149471
"90","E","239",131.11527162635
"91","E","253",130.556699349004
"92","E","703",121.406903759392
"93","E","717",129.267829087463
"94","E","723",128.508833216298
"95","E","732",130.213414080957
"96","E","734",132.847906535663
"97","E","735",133.321272122632
"98","E","724",135.787810854337
"99","E","164",132.500312660501
"100","E","166",137.984630026498
"101","E","174",133.783366187307
"102","E","183",128.538543207352
"103","E","185",139.862862997746
"104","E","688",135.044819518584
"105","E","840",127.467442846597
"106","E","841",130.0914523305
"107","E","689",141.244981358853
"108","E","690",134.914068398142
"109","E","704",131.56233557542
"110","E","705",125.084722658538
"111","E","165",131.14920285425
"112","E","184",139.789365619208
"113","E","595",135.112752293374
"114","E","562",147.205468020168
"115","E","563",145.72288363691
"116","E","564",127.219677954922
"117","E","566",127.905595000592
"118","E","568",125.657294213636
"119","E","569",128.639095655619
"120","E","614",131.146848495005
"121","E","890",114.943052087476
"122","E","891",118.445155895855
"123","E","448",135.807798725916
"124","E","618",123.830279855828
"125","E","103",142.484878648816
"126","E","106",131.614876294943
"127","E","347",149.745174466857
"128","E","348",148.747976275901
"129","E","350",154.628050493875
"130","E","441",133.714146464938
"131","E","444",141.674961941222
"132","E","351",156.065748632043
"133","E","352",151.552590532754
"134","E","355",157.679163000028
"135","E","356",153.981380602906
"136","E","428",157.781304359384
"137","E","429",153.832216586634
"138","E","430",153.049581457173
"139","E","353",156.074500395045
"140","E","354",146.350446691902
"141","E","357",150.619891466632
"142","E","358",135.740508082467
